VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1G9SP5GH4MP492001,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH6MP492002,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH8MP492003,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GHXMP492004,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH1MP492005,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH3MP492006,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH5MP492007,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH7MP492008,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH9MP492009,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH5MP492010,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH7MP492011,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH0MP492013,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH2MP492014,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH4MP492015,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH6MP492016,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH8MP492017,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GHXMP492018,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH1MP492019,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GHXMP492021,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH1MP492022,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH3MP492023,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH5MP492024,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH7MP492025,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH9MP492026,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH0MP492027,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH2MP492028,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH4MP492029,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH9MP492012,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9SP5GH8MP492020,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH0MP492030,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH2MP492031,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH4MP492032,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH6MP492033,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH8MP492034,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GHXMP492035,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH1MP492036,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH3MP492037,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH5MP492038,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH7MP492039,EL,EV,N,2021,C8S,NA,N,,,Y
1G9SP5GH3MP492040,EL,EV,N,2021,C8S,NA,N,,,Y
1G9TH2EG5MP492003,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
1G9TH2EG7MP492004,EL,EV,N,2021,C8S,NA,N,Y,CA,Y
