# This is a template for the Advanced Clean Trucks Manufacturer Produced and Delivered for Sale Reports. Make sure your file is saved in CSV format before uploading it to the screen.,,,,,,,,,,
#,,,,,,,,,,
# Items in the CSV file must be separated by a comma. Non-USA users should check their files to be certain that some other character was not used by their computer as the item separator.,,,,,,,,,,
"# In some cases, the user may wish to change the default list separator character in Windows. (Start | Settings | Control Panel | Regional and Language Options | Customize | List Separator)",,,,,,,,,,
"# Although the fields titled ""Allowed Values:"" show both codes and their descriptions, the actual input file should only use the appropriate codes.",,,,,,,,,,
# Any row that starts with a '#' in the first column will be ignored,,,,,,,,,,
# See examples below.,,,,,,,,,,
#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
#PV-32 same as EPA Sheet,PV-37 (same as EPA sheet),,,,,,,,,
#**Conditional**,**Required**,**Required**,**Required**,**Required**,**Required**,**Conditional**,**Required**,**Required**,**Required**,**Required**
#,Allowed Values:,Allowed Values:,Allowed Values:,,Allowed Values:,,Allowed Values:,Allowed Values:,Allowed Values:,Allowed Values:
#,CNG = Compressed Natural Gas,EV = Electric Vehicle,Y = Yes,,C2b3 = Class 2b-3,,Y = Yes,Y = Yes,CA,Y = Yes
#,D = Diesel,FC = Fuel Cell-Powered Vehicle,N = No,,C45 = Class 4-5,,N = No,N = No,MA,N = No
#,"E = Ethanol, greater than 85%",NZEV = Near Zero Emission Vehicle,,,C67 = Class 6-7,,,,NJ,
#,EL = Electricity,NA = Not Applicable,,,C8S = Class 8 including Yard Tractors,,,,NY,
#,"G = Gasoline, including blends up to E85",,,,C78T = Class 7-8 Tractors,,,,OR,
#,H = Hydrogen,,,,,,,,WA,
#,LNG = Liquefied Natural Gas,,,,,,,,,
#,LPG = Liquefied Petroleum Gas,,,,,,,,,
#,M = Methanol,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#Example:,,,,,,Example:,,,,
#123ABC456XYZ78900,D,EV,Y  ,,C78T   ,,N ,Y   ,CA,N
#,EL  ,NZEV  ,N  ,,,75,,,,
# Enter data below,,,,,,,,,,
#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?,
2A9FN2249MJ217003,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9FN2240MJ217004,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9FN2242MJ217005,EL,EV,Y,2021,C67,N,Y,NJ,N,
2A9FN2244MJ217006,EL,EV,Y,2021,C67,N,Y,NJ,N,
2A9FN2246MJ217007,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9FN2248MJ217008,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9FN224XMJ217009,EL,EV,Y,2021,C67,N,Y,WA,N,
2A9FN2246MJ217010,EL,EV,Y,2021,C67,N,Y,WA,N,
2A9CP2110LJ198541,EL,EV,Y,2020,C67,N,Y,CA,N,
2A9CP2748MJ198371,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP274XMJ198372,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2746MJ198434,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2742MJ198494,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2747MJ198040,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2748MJ198533,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2741MJ198535,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2743MJ198536,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2740MJ198025,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2732MJ198017,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2743MJ198522,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2740MJ198039,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2743MJ198018,EL,EV,Y,2021,C67,N,Y,MA,N,
2A9CP2749MJ198024,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2742MJ198026,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2743MJ198021,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2746MJ198059,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2744MJ198027,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2748MJ198077,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2742MJ198141,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2744MJ198142,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2744MJ198092,EL,EV,Y,2021,C67,N,Y,CA,N,
2A9CP2746MJ198143,EL,EV,Y,2021,C67,N,Y,CA,N,
