#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1HTKJPVM3MH611807,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK1MH608687,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVKXMH608686,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM7MH608064,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK7MH608063,D,NA,N,2021,C45,,N,Y,CA,N
1HTKTSWM9MH590585,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML6NL393420,D,NA,N,2021,C67,,N,Y,CA,N
1HTKSSWK8MH559202,D,NA,N,2021,C45,,N,Y,CA,N
1HTKSSWK1MH559199,D,NA,N,2021,C45,,N,Y,CA,N
1HTKSSWK6MH559196,D,NA,N,2021,C45,,N,Y,CA,N
1HTKTSWM2MH558738,D,NA,N,2021,C67,,N,Y,CA,N
1HTKTSWM0MH558737,D,NA,N,2021,C67,,N,Y,CA,N
1HTKSSWK6MH552944,D,NA,N,2021,C45,,N,Y,CA,N
1HTKSSWK4MH552943,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK9MH615029,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK5MH615030,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK7MH615031,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK9MH615032,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK0MH615033,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK2MH615034,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK4MH615035,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK6MH615067,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK8MH615068,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVKXMH615069,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK6MH615070,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK7MH615504,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK9MH615505,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK5MH620216,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK3MH620467,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK0MH620555,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVKXMH620731,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK8MH620738,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK6MH622813,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM1MH622817,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK7MH623825,D,NA,N,2021,C45,,N,Y,CA,N
3HAEUMML5NL173167,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML3NL173166,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML1NL173165,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMMLXNL173164,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML5NL172536,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK9MH623826,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK5MH623830,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVMXMH627286,D,NA,N,2021,C67,,N,Y,CA,N
1HTKJPVM1MH629061,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM6MH629083,D,NA,N,2021,C67,,N,Y,CA,N
1HTKJPVK6MH629085,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK3MH629089,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK0MH629093,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK2MH635157,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK2MH635160,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK6MH646887,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM0MH654870,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK4MH654871,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK6MH654872,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK8MH661032,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK4MH663053,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK6MH663415,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK3MH663416,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK5MH663417,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK7MH663418,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM1MH663819,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM8MH663820,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK0MH666807,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK0MH666810,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK8MH677179,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK4MH677180,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK6MH677181,D,NA,N,2021,C45,,N,Y,CA,N
3HAEUMML7NL162798,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML5NL162797,D,NA,N,2021,C67,,N,Y,CA,N
1HTKJPVM3MH680786,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK6MH686091,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK8MH686092,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVKXMH686093,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK1MH686094,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM1MH686100,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM3MH686101,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM7MH687283,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK4MH687286,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK8MH687291,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVKXMH687292,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK1MH687293,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK8MH687294,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK1MH699559,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK8MH699560,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVKXMH699561,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK5MH699740,D,NA,N,2021,C45,,N,Y,CA,N
