#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1N6AF0KY0MN800308,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY0MN800647,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY0MN800731,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY0MN801622,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY0MN802107,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY0MN802589,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY0MN803144,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY0MN804116,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY0MN804553,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY0MN804570,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY0MN806190,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY0MN808926,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY1MN801340,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY1MN802259,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY1MN802522,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY1MN806084,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY1MN808756,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN800634,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN801704,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN802187,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN802559,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN802612,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN802903,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN802917,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN803520,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN803808,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN803839,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN804313,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN804327,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN804568,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN805624,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN807678,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN807695,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN808345,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY2MN808443,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY3MN800710,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY3MN801632,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY3MN802604,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY3MN803199,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY3MN803736,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY3MN804076,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY3MN804322,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY3MN806815,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY3MN806877,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY3MN808337,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY3MN808449,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY4MN800134,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY4MN801381,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY4MN802546,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY4MN802577,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY4MN803535,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
