# This is a template for the Advanced Clean Trucks Manufacturer Produced and Delivered for Sale Reports. Make sure your file is saved in CSV format before uploading it to the screen.,,,,,,,,,,
# PACCAR MY2021 ACT Report,,,,,,,,,,
# Items in the CSV file must be separated by a comma. Non-USA users should check their files to be certain that some other character was not used by their computer as the item separator.,,,,,,,,,,
"# In some cases, the user may wish to change the default list separator character in Windows. (Start | Settings | Control Panel | Regional and Language Options | Customize | List Separator)",,,,,,,,,,
"# Although the fields titled ""Allowed Values:"" show both codes and their descriptions, the actual input file should only use the appropriate codes.",,,,,,,,,,
# Any row that starts with a '#' in the first column will be ignored,,,,,,,,,,
# See examples below.,,,,,,,,,,
#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
#PV-32 same as EPA Sheet,PV-37 (same as EPA sheet),,,,,,,,,
#**Conditional**,**Required**,**Required**,**Required**,**Required**,**Required**,**Conditional**,**Required**,**Required**,**Required**,**Required**
#,Allowed Values:,Allowed Values:,Allowed Values:,,Allowed Values:,,Allowed Values:,Allowed Values:,Allowed Values:,Allowed Values:
#,CNG = Compressed Natural Gas,EV = Electric Vehicle,Y = Yes,,C2b3 = Class 2b-3,,Y = Yes,Y = Yes,CA,Y = Yes
#,D = Diesel,FC = Fuel Cell-Powered Vehicle,N = No,,C45 = Class 4-5,,N = No,N = No,MA,N = No
#,"E = Ethanol, greater than 85%",NZEV = Near Zero Emission Vehicle,,,C67 = Class 6-7,,,,NJ,
#,EL = Electricity,NA = Not Applicable,,,C8S = Class 8 including Yard Tractors,,,,NY,
#,"G = Gasoline, including blends up to E85",,,,C78T = Class 7-8 Tractors,,,,OR,
#,H = Hydrogen,,,,,,,,WA,
#,LNG = Liquefied Natural Gas,,,,,,,,,
#,LPG = Liquefied Petroleum Gas,,,,,,,,,
#,M = Methanol,,,,,,,,,
#Example:,,,,,,Example:,,,,
#123ABC456XYZ78900,D,EV,Y  ,,C78T   ,,N ,Y   ,CA,N
#,EL  ,NZEV  ,N  ,,,75,,,,
# Enter data below,,,,,,,,,,
#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1XKZP40X6NJ462088,D,NA,N,2021,C78T,,N,,OR,N
1XKYD49XXNJ465308,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X1NJ467013,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X3NJ467014,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X5NJ467015,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X7NJ467016,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ467017,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ467018,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ467019,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ467020,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ467021,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ467022,D,NA,N,2021,C78T,,N,,CA,N
1XKDD4EX8NR468908,D,NA,N,2021,C78T,,N,,OR,N
1XKDD4EXXNR468909,D,NA,N,2021,C78T,,N,,OR,N
1XKWD49X3NR470360,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ472060,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X3NJ473444,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X5NJ473445,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X7NJ473446,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ473450,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ473451,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ473452,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ473454,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ473709,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ473710,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ473711,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ473712,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X4NJ473713,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ473714,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ473715,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ474956,D,NA,N,2021,C78T,,N,,NJ,N
1XKYD49X4NJ476272,D,NA,N,2021,C78T,,N,,NJ,N
1XKYD49X1NJ478965,D,NA,N,2021,C78T,,N,,OR,N
1XKYD49X3NJ478966,D,NA,N,2021,C78T,,N,,OR,N
1XKYD49X0NJ479136,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ479137,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X4NJ479138,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ479139,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ479140,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X4NJ479141,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ479142,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ479143,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49XXNJ479144,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X1NJ479145,D,NA,N,2021,C78T,,N,,CA,N
1XKYP40X2NJ480373,D,NA,N,2021,C78T,,N,,WA,N
1XKYP40X4NJ480374,D,NA,N,2021,C78T,,N,,WA,N
1XKYP40X6NJ480375,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X6NJ482137,D,NA,N,2021,C78T,,N,,CA,N
1XKWP4TX9NR482643,D,NA,N,2021,C78T,,N,,WA,N
1NKDX4EX1NR482912,D,NA,N,2021,C8S,,N,,OR,N
1XKYD49X0NJ484482,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ485376,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ485729,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ485730,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ485833,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ485863,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ485864,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49XXNJ485865,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X1NJ485866,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X3NJ485870,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ485875,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49XXNJ485879,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ485880,D,NA,N,2021,C78T,,N,,CA,N
1XKZP4TX5NJ486247,D,NA,N,2021,C78T,,N,,OR,N
1XKZD49X5NJ486281,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X4NJ486316,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X8NJ486318,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49XXNJ486319,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49XXNJ486322,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X1NJ486323,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X6NJ486379,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49XXNJ486644,D,NA,N,2021,C78T,,N,,CA,N
1XKZD40X1NJ486646,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X1NJ487097,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ488161,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ488162,D,NA,N,2021,C78T,,N,,CA,N
