project_id,fleet_id,site_id,vehicle_id,model,manufacturer,model_year,vehicle_type,vocation,vehicle_class_size,body_type,body_manufacturer,power,torque,drivetrain_type,main_energy_source_units,main_energy_source_capacity,range_units,nominal_total_range,charging_h2_connector_type,is_plug_in,is_hybrid,if_hybrid_range_from_main_energy_source,if_hybrid_range_from_secondary_energy_source,h2_pressure,ev_max_charge,fuel_cell_h2_acceptance_rate,fuel_on_site,fuel_public,is_operated_in_dac,expected_deployment_date,actual_deployment_date,deployment_end_date,cause_of_deployment_delay,brake_replacement_rates,tire_replacement_rates,num_drivers,electric_motor_type,electric_motor_model
CARBSJVTEPQR,VISALIA0001,,1M9TH16J6JL816252,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,VISALIA0001,,1M9TH16J1JL816255,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,VISALIA0001,,1M9TH16J5JL816257,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,VISALIA0001,,15GGD2719G1187636,Gillig-40-102,Gillig,2016,Transit bus,Fixed-route,30-40 ft,,Cummins,280,925,CNG engine,DGE,176,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,MODESTO0001,,1M9TH16J4JL816296,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,MODESTO0001,,1M9TH16J6JL816302,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,MODESTO0001,,1M9TH16JXJL816299,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,MODESTO0001,,1M9TH16J1JL816305,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,MODESTO0001,,1M9TH16J5JL816307,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,MODESTO0001,,15GGD2710H1188305,GIL2017LOW,Gillig,2016,Transit bus,Fixed-route,30-40 ft,,Cummins,250,900,CNG engine,DGE,105.6,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,SJRTD0001,,15GGD3015D1182543,Diesel Hybrid,Gillig,2013,Transit bus,Fixed-route,30-40 ft,,Cummins,290,660,Diesel hybrid-electric,DGE,75,,,,,True,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,FCRTA0001,,1M9TH16J5JL816260,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,FCRTA0001,,1M9TH16J9JL816262,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,FCRTA0001,,1M9TH16J8JL816267,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,FCRTA0001,,1M9TH16J4JL816265,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,FCRTA0001,,1M9TH16J8JL816270,Catalyst E2,Proterra,2018,Transit bus,Fixed-route,30-40 ft,,,220,,Battery-electric,kWh,440,,,,,False,,,,,,,,,,,,,,,,,
CARBSJVTEPQR,FCRTA0001,,1N9AMALG9GC084089,CNG,Eldorado,2016,Transit bus,Fixed-route,30-40 ft,,Cummins,210,900,CNG engine,DGE,44,,,,,False,,,,,,,,,,,,,,,,,
CARBCCZEATQR,TTSI0001,,LA9TYDE80H1LC0022,Q3M Phase I,BYD,2017,HD truck,Drayage,Class 8,,,360,1476,Battery-electric,kWh,207,,,,,False,,,,,,,,,,,,,,,,,
CARBCCZEATQR,TTSI0001,,LA9TYDE82H1LC0023,Q3M Phase I,BYD,2017,HD truck,Drayage,Class 8,,,360,1476,Battery-electric,kWh,207,,,,,False,,,,,,,,,,,,,,,,,
