Air District,Title,Number,Report Status,Applicant Name,EJ Project,Identifier,Type,Source Category,Technology,Funded Engines,Project Life,Paid In Full,NOx (tons/yr),ROG (tons/yr),PM (tons/yr),Total NOx (tons),Total ROG (tons),Total PM (tons),Contract Execution,Post Inspection,Grant Amount,Funding Source,Funding/Payment/Withhold Year,Sumif=Funding/Payment/Withhold Amount,Payment/Withhold Date,Equipment ID,First Main Engine Fuel,VIN,Make,Model,Latitude/Longitude,HVIP co-funding
South Coast AQMD,Y22-VIP-76720,2HSCUAPR49C076720,Executed,Eric Armando Saldivar (Saldivars Trucking),N,2HSCUAPR49C076720,HH,On-Road Voucher Incentive Program,Voucher,1,3,,0.36,0.01,0.001,1.08,0.03,0.003,7/1/22,,410000,Moyer,MY 22 (FY 2019-2020),410000,,790404,ELEC,2HSCUAPR49C076720,Volvo Truck Corporation,VNRe,,
Bay Area AQMD,22SBP203-School-Bus-replacement,22SBP203,Executed,OAK GROVE SCHOOL DISTRICT (OGSD),Y,BAA-22SBP203-36,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0305,0.0017,0.0009,0.305,0.017,0.009,5/19/22,,80000,Moyer,MY 22 (FY 2019-2020),80000,,798440,ELEC,,Blue Bird,BBCV,,
Bay Area AQMD,22SBP203-School-Bus-replacement,22SBP203,Executed,OAK GROVE SCHOOL DISTRICT (OGSD),Y,BAA-22SBP203-38,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0251,0.0013,0.0008,0.251,0.013,0.008,5/19/22,,65000,Moyer,MY 22 (FY 2019-2020),65000,,798442,ELEC,,Blue Bird,BBCV,,
Bay Area AQMD,22SBP203-School-Bus-replacement,22SBP203,Executed,OAK GROVE SCHOOL DISTRICT (OGSD),Y,BAA-22SBP203-39,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0202,0.001,0.0006,0.202,0.01,0.006,5/19/22,,50000,Moyer,MY 22 (FY 2019-2020),50000,,798444,ELEC,,Blue Bird,BBCV,,
Bay Area AQMD,22SBP203-School-Bus-replacement,22SBP203,Executed,OAK GROVE SCHOOL DISTRICT (OGSD),Y,BAA-22SBP203-40,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0727,0.0054,0.0026,0.727,0.054,0.026,5/19/22,,200000,Moyer,MY 22 (FY 2019-2020),200000,,798446,ELEC,,Blue Bird,BBCV,,
Bay Area AQMD,22SBP203-School-Bus-replacement,22SBP203,Executed,OAK GROVE SCHOOL DISTRICT (OGSD),Y,BAA-22SBP203-46,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1056,0.0099,0.0048,1.056,0.099,0.048,5/19/22,,300000,Moyer,MY 22 (FY 2019-2020),300000,,798452,ELEC,,Blue Bird,BBCV,,
Bay Area AQMD,22SBP203-School-Bus-replacement,22SBP203,Executed,OAK GROVE SCHOOL DISTRICT (OGSD),Y,BAA-22SBP203-47,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1289,0.0136,0.0064,1.289,0.136,0.064,5/19/22,,399821,Moyer,MY 22 (FY 2019-2020),399821,,798454,ELEC,,Blue Bird,BBCV,,
Bay Area AQMD,22SBP203-School-Bus-replacement,22SBP203,Executed,OAK GROVE SCHOOL DISTRICT (OGSD),Y,BAA-22SBP203-48,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0555,0.0037,0.002,0.555,0.037,0.02,5/19/22,,150000,Moyer,MY 22 (FY 2019-2020),150000,,798456,ELEC,,Blue Bird,BBCV,,
Bay Area AQMD,22SBP203-School-Bus-replacement,22SBP203,Executed,OAK GROVE SCHOOL DISTRICT (OGSD),Y,BAA-22SBP203-7,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0755,0.006,0.0031,0.755,0.06,0.031,5/19/22,,210000,Moyer,MY 22 (FY 2019-2020),210000,,798458,ELEC,,Blue Bird,BBCV,,
Bay Area AQMD,22SBP203-School-Bus-replacement,22SBP203,Executed,OAK GROVE SCHOOL DISTRICT (OGSD),Y,BAA-22SBP203-8,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0472,0.0029,0.0016,0.472,0.029,0.016,5/19/22,,125000,Moyer,MY 22 (FY 2019-2020),125000,,798460,ELEC,,Blue Bird,BBCV,,
