Applicant,Applicant Type,Physical Street,Physical City,Physical State,Physical Zip,Local Air District,Local AD Size,New Bus ID,New Bus VIN,New Bus Type,New Bus Vendor,New Bus Manufacturer,New Bus Model,New Bus Model Year,New Bus GVWR,New Bus Plate,New Bus Fuel Type,New Bus Horse Power,New Bus Eng Manuf.,New Bus Engine Model,New Bus Eng. Year, New Bus Engine SN#,New Bus Engine Family,Executive Order #,Delivery Date,New Bus Total Price $,Allowable Costs $,Co-Funding Source,Co-Funding $,PO Date,Old Bus Status,Date 
Arcata School District,Public School District,1435 Buttermilk Lane,Arcata,CA,95521,North Coast Unified,Small,4,1BABNB6A3LF365709,D,A-Z Bus Sales,Blue Bird,T3RE 3904,2020,36200,1568590,Renewable Diesel,300,Cummins,L9 300,2017,74491567,JCEXH0540LAX,A-021-0685,7/2/19,184328.5,165000,None,0,43522,Destroyed,43679
Belleview School District,Public School District,22736 Kuien Mill Road,Sonora,CA,95370,Tuolumne,Small,6,1BABLB6A5LF362820,,A-Z Bus Sales,Blue Bird,T3RE 3802,2020,33000,Only Temp avail,Renewable Diesel,300,Cummins,L9 300,2019,74458817,KCEXH0540LAX,1-021-0704,5/15/19,172298.59,165000,None,0,43455,Destroyed,43655
Biggs Unified School District,Public School District,300 B Street,Biggs,CA,95917,Butte County,Small,20-1,1BAKGCUA9LF366592,D,A-Z Bus Sales,Blue Bird,BBCV 3310,2019,33000,1590794,Electric,315,TM4,LSM200C-HV2200,2019,13038,n/a,n/a,3/3/20,399713.54,399713.54,None,0,43500,Back-up,43899
Brawley Elementary School District,Public School District,261 D Street,Brawley,CA,92227,Imperial County,Small,25,1F66F5KY5J0A16725,C,Creative Bus Sales,Ford/Starcraft,Quest XL EZD102415,2019,23000,1451348,Electric,n/a,Motiv TM4,LSM200C-HV2200,2019,M218030205,n/a,n/a,3/20/19,394442.39,394442.39,None,0,43040,Destroyed,43565
Brawley Elementary School District,Public School District,261 D Street,Brawley,CA,92227,Imperial County,Small,26,1F66F5KY7J0A16726,C,Creative Bus Sales,Ford/Starcraft,Quest XL EZD104513,2019,23000,1564303,Electric,n/a,Motiv TM4,LSM200C-HV2200,2019,M218040326,n/a,n/a,4/29/19,394442.39,394442.39,None,0,43040,Back-up,43620
Brawley Elementary School District,Public School District,261 D Street,Brawley,CA,92227,Imperial County,Small,28,1F66F5KY3J0A16724,C,Creative Bus Sales,Ford/Starcraft,Quest XL EZD 104542,2019,23000,Only Temp avail,Electric,n/a,Motiv TM4,LSM200C-HV2200,2019,M218040229,n/a,n/a,5/10/19,399917.64,399917.64,None,0,43040,Destroyed,43636
Bret Harte Union High School,Public School District,323 S. Main,Angels Camp,CA,95221,Calaveras County,Small,7,1BABNB6A2KF349371,,A-Z Bus Sales,Blue Bird,T3RE ,2018,36200,,Renewable Diesel,300,Cummins,L9 300,2017,74176360,HCEXH0540LAX,A-021-2658-1,1/29/18,163645.79,163645.79,None,0,42999,Destroyed,43160
Calaveras Unified School District,Public School District,3304 Hwy 12,San Andreas,CA,95249,Calaveras County,Small,74,1BABNBUA6KF369111,D,A-Z Bus Sales,Blue Bird,T3RE 3904,2019,36200,1581897,Electric,n/a,TM4,,2019,12758,n/a,n/a,12/30/19,385530.03,385000,None,0,43600,Destroyed,43873
Calaveras Unified School District,Public School District,3304 Hwy 12,San Andreas,CA,95249,Calaveras County,Small,76,1BABNBUAXKF369113,D,A-Z Bus Sales,Blue Bird,T3RE 3904,2019,36200,1581896,Electric,n/a,TM4,,2019,12762,n/a,n/a,12/30/20,385530.03,385000,None,0,43600,Destroyed,43873
Calaveras Unified School District,Public School District,3304 Hwy 12,San Andreas,CA,95249,Calaveras County,Small,75,1BABNBUA8KF369112,D,A-Z Bus Sales,Blue Bird,T3RE 3904,2019,36200,1581895,Electric,260,TM4,,2019,12761,n/a,n/a,12/30/19,385530.03,385000,None,0,43600,Destroyed,43873
