Project #,Applicant,DAC Yes or No,Bus Storage City,Bus Storage State,Bus Storage Street,Bus Storage Zip,Local Air District,New Bus CHP Cert Date,New Bus Delivery Date,New Bus GVWR,New Bus Manufacturer,New Bus Model,New Bus Model Year,New Bus VIN,School District Census Track,Technology Type,New Bus Purchase Price (Quote),Total Project Cost,Total Project Funding,DAC?
18-100,Arcata School District,no,Arcata,CA,2400 Baldwin Rd,95521,North Coast Unified AQMD,,12/17/20,36200,Blue Bird,T3RE 3904,2020,1BABNBUA3LF380116,,Zero Emission - Electric (Battery) or Fuel Cell,"$402,642.43 ","$407,617.43 ","$404,975.00 ",no
18-54,Big Lagoon Union School District,no,Arcata,CA,3701 Boyd Rd.,95521,North Coast Unified AQMD,,1/26/21,33000,Blue Bird,BBCV 3011,2020,1BAKFCUA3LF379390,6023010200,Zero Emission - Electric (Battery) or Fuel Cell,"$398,687.72 ","$403,637.72 ","$403,638.00 ",no
18-52,Bishop Unified School District,No,Bishop,CA,800 W. Elm Street,93514,Great Basin Unified APCD,,8/6/20,36200,Blue Bird,T3RE 3904,2020,1BABNBUA6LF376870,6027000400,Zero Emission - Electric (Battery) or Fuel Cell,"$433,370.93 ","$437,793.93 ","$404,423.00 ",No
18-92,Bishop Unified School District,no,Bishop,CA,800 W. Elm Street,93514,Great Basin Unified APCD,,10/8/20,36200,Blue Bird,T3RE 3904,2020,1BABNBUA3LF376874,6027000400,Zero Emission - Electric (Battery) or Fuel Cell,"$431,555.34 ","$435,978.34 ","$404,423.00 ",no
18-114,Columbia Elementary School District,no,Redding,CA,10140 Old Oregon Trail,96003,Shasta County AQMD,,11/24/20,30000,Lion C,AA3_AC,2020,2A9CP2114LJ198512,,Zero Emission - Electric (Battery) or Fuel Cell,"$428,649.73 ","$434,236.19 ","$405,000.00 ",no
18-45,Columbia Elementary School District,no,Redding,CA,10140 Old Oregon Trail,96003,Shasta County AQMD,,6/7/19,33000,Lion,AA4,2019,2A9CP2111KJ198322, 6089010805,Zero Emission - Electric (Battery) or Fuel Cell,"$418,549.61 ","$424,723.11 ","$405,000.00 ",no
18-49,Colusa Unified School District,no,Colusa,CA,901 Colus Ave,95932,Colusa County APCD,,1/21/20,33000,Lion,AA2,2019,2A9CP2111KJ198420,6011000200,Zero Emission - Electric (Battery) or Fuel Cell,"$386,907.59 ","$394,586.68 ","$391,908.00 ",no
18-86,Eastern Sierra Unified School District,no,Lee Vining,CA,51710 Hwy 395,93541,Great Basin Unified APCD,,9/30/20,36200,Blue Bird,T3RE 3802,2020,1BABNBUA8LF376885,,Zero Emission - Electric (Battery) or Fuel Cell,"$407,806.31 ","$417,884.28 ","$405,000.00 ",no
18-116,Evergreen Union School District,no,Cottonwood,CA,19500 Learning Way,96022,Tehama County APCD,,1/26/21,36200,Blue Bird,T3RE 3904,2020,1BABNBUA2LF380320,,Zero Emission - Electric (Battery) or Fuel Cell,"$409,074.61 ","$413,524.61 ","$404,450.00 ",no
18-68,Evergreen Union School District,no,Cottonwood,CA,19500 Learning Way,96022,Tehama County APCD,,7/23/20,36200,Blue Bird,T3RE 3904,2020,1BABNBUA6LF376884,6103000200,Zero Emission - Electric (Battery) or Fuel Cell,"$407,256.89 ","$411,706.89 ","$404,450.00 ",no
