,Source,VIN,Entity,Date Delivered,Manufacturer,Segment,Fuel Type,GVWR,Funding Total,Air District,County,DAC?,Address,Latitude,Longitude
152,Moyer,,City of Folsom,11/5/20,,Other,ZEV,Not Available,46628,Sacramento Metropolitan,,,,To be added,To be added
153,Moyer,,City of Folsom,11/5/20,,Other,ZEV,Not Available,55733,Sacramento Metropolitan,,,,To be added,To be added
366,VW Settlement,1G9CG2CD0KP492029,City of Beaumont,5/25/21 0:00,Greenpower,Other,Electric,"14,001 - 19,500",160000,South Coast,Riverside,No,"550 East 6th Street Beaumont, CA 92223",33.919898,-116.958753
367,VW Settlement,1G9CG2CD9KP492028,City of Beaumont,5/26/21 0:00,Greenpower,Other,Electric,"14,001 - 19,500",160000,South Coast,Riverside,No,"550 East 6th Street Beaumont, CA 92223",33.91989,-116.958753
368,VW Settlement,1FDFE4FS5GDC30983,City of Costa Mesa,1/13/21 0:00,Ford E Series,Other,Electric,"14,001 - 19,500",159985.41,South Coast,Orange,Yes,"2300 Placentia Avenue Costa Mesa, CA 92627",33.6581139,-117.9318822
369,VW Settlement,1G9CG2CD6KD492022,City of Taft,5/20/20 0:00,GreenPower Motor Company,Other,Electric,"14,001 - 19,500",160000,San Joaquin Valley Unified,Kern,Yes,"550 Supply Row Taft, CA 93268",35.1393598,-119.4604513
370,VW Settlement,1G9CG2CD9MP492145,City of Temecula,5/10/21 0:00,GreenPower,Shuttle Bus,Electric,"14,001 - 19,500",160000,South Coast,Riverside,No,"41375 McCabe Court Temecula, CA 92590",33.5281979,-117.1705224
384,VW Settlement,5FYF8FX10MF075675,Golden Empire Transit District,8/18/20 0:00,New Flyer,Other,Hfc,"33,001 and up",400000,San Joaquin Valley Unified,Kern,Yes,"1830 Golden State Avenue Bakersfield, CA 93301",35.3921711,-119.0249665
385,VW Settlement,5FYF8FX14MF075677,Golden Empire Transit District,8/18/20 0:00,New Flyer,Other,Hfc,"33,001 and up",400000,San Joaquin Valley Unified,Kern,Yes,"1830 Golden State Avenue Bakersfield, CA 93301",35.3921711,-119.0249665
386,VW Settlement,5FYF8FX12MF075676,Golden Empire Transit District,8/18/20 0:00,New Flyer,Other,Hfc,"33,001 and up",400000,San Joaquin Valley Unified,Kern,Yes,"1830 Golden State Avenue Bakersfield, CA 93301",35.3921711,-119.0249665
387,VW Settlement,5FYF8X18MF075679,Golden Empire Transit District,8/18/20 0:00,New Flyer,Other,Hfc,"33,001 and up",400000,San Joaquin Valley Unified,Kern,Yes,"1830 Golden State Avenue Bakersfield, CA 93301",35.3921711,-119.0249665
388,VW Settlement,1FDFE4FN1MDC13474,Mendocino Transit Authority,2/17/21 0:00,Ford Diamond,Other,Electric,"14,001 - 19,500",160000,Mendocino County,Mendocino,No,"241 Plant Road Ukiah, CA 95482",39.111928,-123.193051
389,VW Settlement,1FDFE4FN4MDC13470,Mendocino Transit Authority,3/30/21 0:00,Ford,Other,Electric,"14,001 - 19,500",160000,Mendocino County,Mendocino,No,"241 Plant Rd. Ukiah, CA 95482",39.111928,-123.193051
391,VW Settlement,5FYB8FJ14MB075435,Omnitrans,1/13/21 0:00,New Flyer,Other,Electric,"33,001 and up",180000,South Coast,San Bernardino,Yes,"1700 W. Fifth St. San Bernardino, CA 92411",34.109274,-117.325012
392,VW Settlement,5FYB8FJ16MB075436,Omnitrans,1/13/21 0:00,New Flyer,Other,Electric,"33,001 and up",180000,South Coast,San Bernardino,Yes,"1700 W. Fifth St. San Bernardino, CA 92411",34.109274,-117.325012
393,VW Settlement,5FYB8FJ18MB075437,Omnitrans,1/13/21 0:00,New Flyer,Other,Electric,"33,001 and up",180000,South Coast,San Bernardino,Yes,"1700 W. Fifth St. San Bernardino, CA 92411",34.109274,-117.325012
394,VW Settlement,5FYB8FJ1XMB075438,Omnitrans,1/13/21 0:00,New Flyer,Other,Electric,"33,001 and up",180000,South Coast,San Bernardino,Yes,"1700 W. Fifth St. San Bernardino, CA 92411",34.109274,-117.325012
415,VW Settlement,1FDFE4FN7NDC18535,Pleasant Valley School District,3/11/21 0:00,Micro-Bird,Shuttle Bus,Electric,"14,001 - 19,500",400000,Ventura County,Ventura,No,"600 Temple Avenue Camarillo, CA 93010",34.223093,-119.029627
433,VW Settlement,1G9CG2CD3KP492056,Regents University of California Los Angeles,9/22/20 0:00,GreenPower Motor Company,Other,Electric,"14,001 - 19,500",160000,S a n   D i e g o   C o u n t y,,No,"1625 Owens Street San Francisco, CA 94143",37.7682654,-122.3938649
434,VW Settlement,1G9CG2CD7MP492144,Sony Pictures Studios Inc.,7/14/20 0:00,GreenPower Motor Company,Other,Electric,"14,001 - 19,500",147510.37,South Coast,Los Angeles,No,"10202 Washington Boulevard Culver City, CA 90232",34.017707,-118.4014314
435,VW Settlement,5FYF8FX17MF082557,SunLine Transit Agency,5/6/20 0:00,New Flyer,Other,Hfc,"33,001 and up",400000,South Coast,Riverside,Yes,"32505 Harry Oliver Trail Thousand Palms, CA 92276",33.812279,-116.395115
436,VW Settlement,5FYF8FX10MF082559,SunLine Transit Agency,5/6/20 0:00,New Flyer,Other,Hfc,"33,001 and up",400000,South Coast,Riverside,Yes,"32505 Harry Oliver Trail Thousand Palms, CA 92276",33.813179,-116.395115
437,VW Settlement,5FYF8FX19MF082558,SunLine Transit Agency,5/6/20 0:00,New Flyer,Other,Hfc,"33,001 and up",400000,South Coast,Riverside,Yes,"32505 Harry Oliver Trail Thousand Palms, CA 92276",33.813179,-116.395115
438,VW Settlement,5FYF8FX19MF082561,SunLine Transit Agency,5/3/21 0:00,New Flyer,Other,Hfc,"33,001 and up",400000,South Coast,Riverside,No,"32505 Harry Oliver Trail Thousand Palms, CA 92276",33.813179,-116.395115
439,VW Settlement,5FYF8FX17MF082560,SunLine Transit Agency,5/3/21 0:00,New Flyer,Other,Hfc,"33,001 and up",400000,South Coast,Riverside,No,"32505 Harry Oliver Trail Thousand Palms, CA 92276",33.813179,-116.3951155
440,VW Settlement,5FYB8FJ0XMF082566,Victor Valley Transit Authority,9/22/20 0:00,New Flyer Xcelsior,Other,Electric,"33,001 and up",180000,Mojave Desert,San Bernardino,Yes,"17150 Smoke Tree Street Hesperia, CA 92345",34.424748,-117.290202
441,VW Settlement,5FYB8FJ01MF082567,Victor Valley Transit Authority,9/22/20 0:00,New Flyer Xcelsior,Other,Electric,"33,001 and up",180000,Mojave Desert,San Bernardino,Yes,"17150 Smoke Tree Street Hesperia, CA 92345",34.424748,-117.290202
442,VW Settlement,5FYB8FJ03MF082568,Victor Valley Transit Authority,9/22/20 0:00,New Flyer Xcelsior,Other,Electric,"33,001 and up",180000,Mojave Desert,San Bernardino,Yes,"17150 Smoke Tree Street Hesperia, CA 92345",34.424748,-117.290202
443,VW Settlement,5FYB8FJ05MF082569,Victor Valley Transit Authority,9/22/20 0:00,New Flyer Xcelsior,Other,Electric,"33,001 and up",180000,Mojave Desert,San Bernardino,Yes,"17150 Smoke Tree Street Hesperia, CA 92345",34.5054192,-117.3153471
444,VW Settlement,5FYB8FJ01MF082570,Victor Valley Transit Authority,9/22/20 0:00,New Flyer Xcelsior,Other,Electric,"33,001 and up",180000,Mojave Desert,San Bernardino,Yes,"17150 Smoke Tree Street Hesperia, CA 92345",34.424748,-117.290202
452,HVIP,52UJTE1F0AP900391,BCI Coca-Cola Bottling Co. of Los Angeles,6/6/11 0:00,Navistar,MD Step Van,ZEV,"10,001 - 14,000",30000,Bay Area,Solano,Yes,"530 Getty Court Benicia, CA 94510",38.0782283,-122.1291016
453,HVIP,52UJTE1F2AP900392 ,BCI Coca-Cola Bottling Co. of Los Angeles,6/3/11 0:00,Navistar,MD Step Van,ZEV,"10,001 - 14,000",30000,South Coast,Orange,Yes,"700 West Grove Street Orange, CA 92865",33.8204905,-117.8586593
454,HVIP,52UJTE1F6AP900394,BCI Coca-Cola Bottling Co. of Los Angeles,6/3/11 0:00,Navistar,MD Step Van,ZEV,"10,001 - 14,000",30000,South Coast,Los Angeles,Yes,"1334 S. Central Avenue Los Angeles, CA 90021",34.0287162,-118.2451689
