,Source,VIN,Entity,Date Delivered,Manufacturer,Segment,Fuel Type,GVWR,Funding Total,Air District,County,DAC?,Address,Latitude,Longitude
0,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS1HDC74352,Sacramento City Unified School District,2017,Trans Tech/Ford/Motiv,School bus,ZEV,"14,001 - 19,500","$181,631.00 ",Sacramento Metropolitan,Sacramento,Yes,"3101 Redding Avenue Sacramento, CA 95820",,
1,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS6HDC73178,Sacramento City Unified School District,2017,Trans Tech/Ford/Motiv,School bus,ZEV,"14,001 - 19,500","$181,631.00 ",Sacramento Metropolitan,Sacramento,Yes,"3101 Redding Avenue Sacramento, CA 95820",,
2,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS4HDC73180,Sacramento City Unified School District,2017,Trans Tech/Ford/Motiv,School bus,ZEV,"14,001 - 19,500","$181,631.00 ",Sacramento Metropolitan,Sacramento,Yes,"3101 Redding Avenue Sacramento, CA 95820",,
3,Sacramento Regional ZE School Bus Deployment Project,2A9CP2112LJ198427,Sacramento City Unified School District,2020,eLion,School bus,ZEV,"14,001 - 19,500","$324,616.00 ",Sacramento Metropolitan,Sacramento,Yes,"3101 Redding Avenue Sacramento, CA 95820",,
4,Sacramento Regional ZE School Bus Deployment Project,2A9SP212XHJ198140,Twin Rivers Unified School District,2017,eLion,School bus,ZEV,"14,001 - 19,500","$276,150.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
5,Sacramento Regional ZE School Bus Deployment Project,2A9SP2121HJ198141,Twin Rivers Unified School District,2017,eLion,School bus,ZEV,"14,001 - 19,500","$276,150.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
6,Sacramento Regional ZE School Bus Deployment Project,2A9SP2122HJ198116,Twin Rivers Unified School District,2017,eLion,School bus,ZEV,"14,001 - 19,500","$276,150.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
7,Sacramento Regional ZE School Bus Deployment Project,2A9SP2124HJ198117,Twin Rivers Unified School District,2017,eLion,School bus,ZEV,"14,001 - 19,500","$276,150.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
8,Sacramento Regional ZE School Bus Deployment Project,2A9SP2128HJ198119,Twin Rivers Unified School District,2017,eLion,School bus,ZEV,"14,001 - 19,500","$280,209.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
9,Sacramento Regional ZE School Bus Deployment Project,2A9SP2126HJ198118,Twin Rivers Unified School District,2017,eLion,School bus,ZEV,"14,001 - 19,500","$280,209.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
10,Sacramento Regional ZE School Bus Deployment Project,2A9SP2124HJ198120,Twin Rivers Unified School District,2017,eLion,School bus,ZEV,"14,001 - 19,500","$280,209.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
11,Sacramento Regional ZE School Bus Deployment Project,2A9SP2126HJ198121,Twin Rivers Unified School District,2017,eLion,School bus,ZEV,"14,001 - 19,500","$280,209.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
12,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS0HDC66193,Twin Rivers Unified School District,2017,Trans Tech/Ford/Motiv,School bus,ZEV,"14,001 - 19,500","$178,957.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
13,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS2HDC71699,Twin Rivers Unified School District,2017,Trans Tech/Ford/Motiv,School bus,ZEV,"14,001 - 19,500","$178,957.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
14,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS5HDC71700,Twin Rivers Unified School District,2017,Trans Tech/Ford/Motiv,School bus,ZEV,"14,001 - 19,500","$178,957.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
15,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS7HDC71701,Twin Rivers Unified School District,2017,Trans Tech/Ford/Motiv,School bus,ZEV,"14,001 - 19,500","$178,957.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
16,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS9HDC71702,Twin Rivers Unified School District,2017,Trans Tech/Ford/Motiv,School bus,ZEV,"14,001 - 19,500","$178,957.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
17,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS0HDC73175,Twin Rivers Unified School District,2017,Trans Tech/Ford/Motiv,School bus,ZEV,"14,001 - 19,500","$178,957.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
18,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS2HDC73176,Twin Rivers Unified School District,2017,Trans Tech/Ford/Motiv,School bus,ZEV,"14,001 - 19,500","$178,957.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
19,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS4HDC73177,Twin Rivers Unified School District,2017,Trans Tech/Ford/Motiv,School bus,ZEV,"14,001 - 19,500","$178,957.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
20,Sacramento Regional ZE School Bus Deployment Project,2A9SP2128JJ198126,Elk Grove Unified School District,2018,eLion,School bus,ZEV,"14,001 - 19,500","$243,606.00 ",Sacramento Metropolitan,Sacramento,Yes,"8421 Gerber Road Sacramento, CA 95828",,
21,Sacramento Regional ZE School Bus Deployment Project,2A9SP212XJJ198127,Elk Grove Unified School District,2018,eLion,School bus,ZEV,"14,001 - 19,500","$243,606.00 ",Sacramento Metropolitan,Sacramento,Yes,"8421 Gerber Road Sacramento, CA 95828",,
22,Sacramento Regional ZE School Bus Deployment Project,2A9SP2121JJ198128,Elk Grove Unified School District,2018,eLion,School bus,ZEV,"14,001 - 19,500","$243,606.00 ",Sacramento Metropolitan,Sacramento,Yes,"8421 Gerber Road Sacramento, CA 95828",,
23,Sacramento Regional ZE School Bus Deployment Project,2A9SP2122JJ198123,Elk Grove Unified School District,2018,eLion,School bus,ZEV,"14,001 - 19,500","$243,606.00 ",Sacramento Metropolitan,Sacramento,Yes,"8421 Gerber Road Sacramento, CA 95828",,
24,Sacramento Regional ZE School Bus Deployment Project,2A9SP212XJJ198130,Elk Grove Unified School District,2018,eLion,School bus,ZEV,"14,001 - 19,500","$243,606.00 ",Sacramento Metropolitan,Sacramento,Yes,"8421 Gerber Road Sacramento, CA 95828",,
25,Sacramento Regional ZE School Bus Deployment Project,2A9SP2120JJ198217,Elk Grove Unified School District,2018,eLion,School bus,ZEV,"14,001 - 19,500","$243,606.00 ",Sacramento Metropolitan,Sacramento,Yes,"8421 Gerber Road Sacramento, CA 95828",,
26,Sacramento Regional ZE School Bus Deployment Project,2A9SP2124JJ198222,Elk Grove Unified School District,2018,eLion,School bus,ZEV,"14,001 - 19,500","$243,606.00 ",Sacramento Metropolitan,Sacramento,Yes,"8421 Gerber Road Sacramento, CA 95828",,
27,Sacramento Regional ZE School Bus Deployment Project,2A9SP2126JJ198223,Elk Grove Unified School District,2018,eLion,School bus,ZEV,"14,001 - 19,500","$243,606.00 ",Sacramento Metropolitan,Sacramento,Yes,"8421 Gerber Road Sacramento, CA 95828",,
28,Rural School Bus Pilot Project,1BAKGCUA9LF366592,Biggs Unified School District,3/3/20,Blue Bird,School bus,Electric,"33,001 and up",399713.54,Butte County,,,"300 B Street Biggs, CA 95917",,
29,Rural School Bus Pilot Project,1F66F5KY5J0A16725,Brawley Elementary School District,3/20/19,Ford/Starcraft,School bus,Electric,"33,001 and up",394442.39,Imperial County,,,"261 D Street Brawley, CA 92227",,
30,Rural School Bus Pilot Project,1F66F5KY7J0A16726,Brawley Elementary School District,4/29/19,Ford/Starcraft,School bus,Electric,"33,001 and up",394442.39,Imperial County,,,"261 D Street Brawley, CA 92227",,
31,Rural School Bus Pilot Project,1F66F5KY3J0A16724,Brawley Elementary School District,5/10/19,Ford/Starcraft,School bus,Electric,"33,001 and up",399917.64,Imperial County,,,"261 D Street Brawley, CA 92227",,
32,Rural School Bus Pilot Project,1BABNBUA6KF369111,Calaveras Unified School District,12/30/19,Blue Bird,School bus,Electric,"33,001 and up",385000.0,Calaveras County,,,"3304 Hwy 12 San Andreas, CA 95249",,
